'a 啊
'a'gu'ji 啊估计
'a'gu'jia 啊股价
'a'gu'lin 啊顾林
'a'gu'niang 啊姑娘
'a'guan'wo 啊管我
'a'guang'da 啊光大
'a'guang'kan 啊光看
'a'gui'gen'dao'di 啊归根到底
'a'hai 啊还
'a'hai'hao 啊还好
'a'hai'shi 啊还是
'a'hai'you 啊还有
'a'hao 啊好
'a'hao'ba 啊好吧
'a'hao'chang 啊好长
'a'hao'de 啊好的
'a'hao'hai'zi 啊好孩子
'a'hao'le 啊好了
'a'hao'xiao'xi 啊好消息
'a'he 啊和
'a'he'he 啊呵呵
'a'he'nan'sheng 啊河南省
'a'he'ta 啊和他
'a'he'tong 啊合同
'a'hen'duo'ren 啊很多人
'a'hen'ji 啊很急
'a'hou'lai 啊后来
'a'hu'shi 啊护士
'a'hua'dong 啊华东
'a'hua'tai 啊华泰
'a'hui 阿慧
'a'hui'fu 啊回复
'a'hui'na'ge 阿慧哪个
'a'huo'qu 啊获取
'a'huo'shi 啊或是
'a'huo'zhe 啊或者
'a'ji'bai'wan 啊几百万
'a'ji'dian 啊几点
'a'ji'ge 啊几个
'a'ji'liang 啊计量
'a'jia 啊加
'a'jia'ge 啊价格
'a'jia'he 啊嘉禾
'a'jia'ru 啊假如
'a'jiang 啊讲
'a'jiao 阿娇
'a'jiao 阿胶
'a'jiao'ba 阿娇吧
'a'jiao'bi 阿胶比
'a'jiao'bu'zheng'chang 阿娇不正常
'a'jiao'bu'zhi'dao 阿娇不知道
'a'jiao'ce 阿娇测
'a'jiao'chi'dao 阿娇迟到
'a'jiao'chu'chai 阿娇出差
'a'jiao'chuan 阿娇传
'a'jiao'da'dian'hua 阿娇打电话
'a'jiao'dai'ti 阿娇代替
'a'jiao'de 阿娇的
'a'jiao'dian'nao 阿娇电脑
'a'jiao'dou'shi 阿娇都是
'a'jiao'dui 阿娇对
'a'jiao'fa'de 阿娇发的
'a'jiao'fa'ni 阿娇发你
'a'jiao'fa'yi'xia 阿娇发一下
'a'jiao'fen'pei 阿娇分配
'a'jiao'fu'ze 阿娇负责
'a'jiao'gai'ba 阿娇改吧
'a'jiao'gai'hao 阿娇改好
'a'jiao'gei'ni 阿娇给你
'a'jiao'gei'ni'gai 阿娇给你改
'a'jiao'gou'tong 阿娇沟通
'a'jiao'gu'ji 阿娇估计
'a'jiao'guan 阿娇管
'a'jiao'hao 阿娇好
'a'jiao'he 阿娇和
'a'jiao'he'qi'lai 阿娇合起来
'a'jiao'he'wo 阿娇和我
'a'jiao'hui 阿娇会
'a'jiao'hui'lai 阿娇回来
'a'jiao'huo 阿娇或
'a'jiao'huo'shi 阿娇或是
'a'jiao'jin'tian 阿娇今天
'a'jiao'jiu'qing'chu 阿娇就清楚
'a'jiao'jiu'shi 阿娇就是
'a'jiao'kan'bu'dong 阿娇看不懂
'a'jiao'lai 阿娇来
'a'jiao'lai'le 阿娇来了
'a'jiao'le 阿娇了
'a'jiao'li'jie'cheng 阿娇理解成
'a'jiao'mei'ci 阿娇每次
'a'jiao'mei'tian 阿娇每天
'a'jiao'na'li 阿娇那里
'a'jiao'nai'nai 阿娇奶奶
'a'jiao'neng'xing 阿娇能行
'a'jiao'nv'peng'you 阿娇女朋友
'a'jiao'pei'zhi 阿娇配置
'a'jiao'shang'liang 阿娇商量
'a'jiao'shi'bu'shi 阿娇是不是
'a'jiao'shou'li 阿娇手里
'a'jiao'shou'shang 阿娇手上
'a'jiao'shou'tou 阿娇手头
'a'jiao'shuo 阿娇说
'a'jiao'shuo'le 阿娇说了
'a'jiao'shuo'xia 阿娇说下
'a'jiao'shuo'yi'xia 阿娇说一下
'a'jiao'ta'men 阿娇他们
'a'jiao'ti'wo 阿娇替我
'a'jiao'wan'shang 阿娇晚上
'a'jiao'wo 阿娇我
'a'jiao'xian'tuo 阿娇先脱
'a'jiao'xiao'bai 阿娇小白
'a'jiao'xiu'gai 阿娇修改
'a'jiao'yao 阿娇要
'a'jiao'yao'dui 阿娇要对
'a'jiao'yao'yi'ge 阿娇要一个
'a'jiao'ye 阿娇也
'a'jiao'ye'shi 阿娇也是
'a'jiao'yi'ge'ren 阿娇一个人
'a'jiao'yi'hu 阿娇医护
'a'jiao'yi'hui 阿娇一会
'a'jiao'yi'qi 阿娇一起
'a'jiao'ying'gai 阿娇应该
'a'jiao'yong 阿娇用
'a'jiao'yong'wo 阿娇用我
'a'jiao'zai 阿娇在
'a'jiao'zai'gai 阿娇在改
'a'jiao'zen'me 阿娇怎么
'a'jiao'zhe 阿娇这
'a'jiao'zhe'bian 阿娇这边
'a'jiao'zhe'ge 阿娇这个
'a'jiao'zhe'zhou 阿娇这周
'a'jiao'zhi'dao 阿娇知道
'a'jiao'zhuan 阿娇转
'a'jiao'zhuan'de 阿娇转的
'a'jiao'zhuan'fa 阿娇转发
'a'jiao'zhuan'ni 阿娇转你
'a'jiao'zi'ji 阿娇自己
'a'jiao'zi'shen 阿娇资深
'a'jiao'zu 阿娇组
'a'jiao'zu'le 阿娇组了
'a'jiao'zuo'guo 阿娇做过
'a'jie'jin 啊接近
'a'jin 啊近
'a'jin'liang 啊尽量
'a'jin'nian 啊今年
'a'jin'tian 啊今天
'a'jin'wan 啊今晚
'a'jiu 啊就
'a'jiu'cha 啊就差
'a'jiu'de 啊旧的
'a'jiu'shi 啊就是
'a'jiu'suan 啊就算
'a'jiu'suan'shi 啊就算是
'a'ju'ti 啊具体
'a'ka'di'ya 阿卡迪亚
'a'ka'di'ya'mai'de 阿卡迪亚买的
'a'kai'che 啊开车
'a'kan 啊看
'a'kan'bu'dao 啊看不到
'a'kan'bu'qing 啊看不清
'a'kan'dao 啊看到
'a'kan'kan 啊看看
'a'kan'lai 啊看来
'a'kao 啊靠
'a'ke'neng 啊可能
'a'ke'yi 啊可以
'a'ken'ding 啊肯定
'a'kou'cai 啊口才
'a'kou'wei 啊口味
'a'ku 啊库
'a'kuai 啊快
'a'kui'da 啊亏大
'a'lang'fei 啊浪费
'a'lao 啊老
'a'lao'chen 啊老陈
'a'lao'dai 啊老戴
'a'lao'po 啊老婆
'a'lao'tang 啊老唐
'a'lao'zhao 啊老赵
'a'le'shi 啊乐视
'a'lei'ji 啊累积
'a'li 啊里
'a'lian 啊连
'a'lian'wo 啊连我
'a'lin'shi 啊临时
'a'lou 啊漏
'a'ma'an'shan 啊马鞍山
'a'ma'de 啊妈的
'a'ma'zui 啊麻醉
'a'mai 啊卖
'a'mai'di'si'dun 啊麦迪斯顿
'a'mao'si 啊貌似
'a'mei'ding 啊没定
'a'mei'gao'su'wo 啊没告诉我
'a'mei'hang 啊每行
'a'mei'nian 啊每年
'a'mei'shi 啊没事
'a'mei'tan 啊煤炭
'a'mei'tian 啊每天
'a'mei'xiang'dao 啊没想到
'a'mei'you 啊没有
'a'mi 啊米
'a'mi'ma 啊密码
'a'ming'tian 啊明天
'a'mu'qian 啊目前
'a'na 啊那
'a'na'bian 啊那边
'a'na'ge 啊那个
'a'na'ge 啊哪个
'a'na'jiu 啊那就
'a'na'jiu'shi 啊那就是
'a'na'lai 啊哪来
'a'na'li 啊那里
'a'na'ni 啊那你
'a'na'ni'men 啊那你们
'a'na'tian 啊哪天
'a'na'xie 啊哪些
'a'na'xie 啊那些
'a'na'xie'ren 啊那些人
'a'nan'dao 啊难道
'a'nan'yang 啊南阳
'a'nei'rong 啊内容
'a'neng 啊能
'a'neng'bu'neng 啊能不能
'a'neng'cha 啊能插
'a'neng'yuan'cheng 啊能远程
'a'ni 啊你
'a'ni'ba 啊你把
'a'ni'hao 啊你好
'a'ni'ma 啊你吗
'a'ni'mei 啊你没
'a'ni'mei'de 啊你妹的
'a'ni'men 啊你们
'a'ni'men'zu 啊你们组
'a'ni'xian'zai 啊你现在
'a'ni'ye'yao 啊你也要
'a'ni'zai 啊你再
'a'niu'shi 啊牛市
'a'nong 啊弄
'a'o 啊哦
'a'ou'er 啊偶尔
'a'ou'xiang 啊偶像
'a'pei'zhi'qi 啊配置器
'a'pi'fu 啊批复
'a'pu'tong 啊普通
'a'qi'guai 啊奇怪
'a'qi'shi 啊其实
'a'qi'ta 啊其他
'a'qing'bu'qi 啊请不起
'a'qiong'bi 啊穷逼
'a'qu'le 啊去了
'a'qu'nian 啊去年
'a'quan'shang 啊券商
'a'quan'zai'zhang 啊全在涨
'a'rang 啊让
'a'rang'wo 啊让我
'a'ren'yuan 啊人员
'a'ru'guo 啊如果
'a'sha'le 啊杀了
'a'shang'ban 啊上班
'a'shang'ci 啊上次
'a'shang'mian 啊上面
'a'shang'wu 啊上午
'a'shang'zhou'mo 啊上周末
'a'she'ji'dao 啊涉及到
'a'shen'me 啊什么
'a'shen'me'xiang'mu 啊什么项目
'a'sheng'xia 啊剩下
'a'shi 啊是
'a'shi'a 啊是啊
'a'shi'bu'shi 啊是不是
'a'shi'de 啊是的
'a'shi'pin 啊视频
'a'shi'qing 啊事情
'a'shi'shi 啊实施
'a'shi'ti'dian 啊实体店
'a'shi'ye'bu 啊事业部
'a'shou'li 啊手里
'a'shou'xu'fei 啊手续费
'a'shu'biao 啊鼠标
'a'shu'ju 啊数据
'a'shu'ju'ku 啊数据库
'a'shuai'ge 啊帅哥
'a'shun'jian 啊瞬间
'a'shuo 啊说
'a'shuo'ming 啊说明
'a'shuo'shi 啊说是
'a'su'du 啊速度
'a'su'zhou 啊苏州
'a'sui'ran 啊虽然
'a'suo'yi 啊所以
'a'suo'you 啊所有
'a'suo'you'ren 啊所有人
'a'ta 啊他
'a'ta'liang 啊她两
'a'ta'men 啊他们
'a'ta'men'ke'shi 啊她们科室
'a'tai 啊台
'a'tai'hao 啊太好
'a'tai'zhou 啊台州
'a'tan'dao 啊弹到
'a'tao'bao 啊淘宝
'a'tao'xian 啊套现
'a'te'zi 阿特兹
'a'te'zi'deng'deng 阿特兹等等
'a'te'zi'nei'shi 阿特兹内饰
'a'ti'jiao 啊提交
'a'tiao'jian 啊条件
'a'ting'ma'fan 啊挺麻烦
'a'tong'ji 啊统计
'a'wan'ban 啊晚班
'a'wan'shang 啊晚上
'a'wang'jian'bin 啊王建斌
'a'wang'jian'bing 啊王建兵
'a'wang'shang 啊网上
'a'wei'man 啊未满
'a'wei'shen'me 啊为什么
'a'wen'jian'jia 啊文件夹
'a'wen'pei 啊文沛
'a'wen'ti 啊问题
'a'wo 啊我
'a'wo'ca 啊我擦
'a'wo'ji'de 啊我记得
'a'wo'kan'xia 啊我看下
'a'wo'kao 啊我靠
'a'wo'men 啊我们
'a'xi'tong 啊系统
'a'xia'ban 啊下班
'a'xia'mian 啊下面
'a'xia'wu 啊下午
'a'xia'zhe 啊下着
'a'xian 啊先
'a'xian'chang 啊现场
'a'xian'mu 啊羡慕
'a'xian'shi'qi 啊显示器
'a'xian'ti 啊先提
'a'xian'zai 啊现在
'a'xiang'yang 啊襄阳
'a'xiao'de 啊小的
'a'xiao'guan 啊小管
'a'xiao'wang'zi 啊小王子
'a'xiao'xi 啊消息
'a'xiao'xiao 啊小小
'a'xie'xie 啊谢谢
'a'xin'gong'zuo 啊新工作
'a'xin'shang 啊新上
'a'xin'xi'ke 啊信息科
'a'xiu'gai 啊修改
'a'xu'bo 啊徐博
'a'xu'qiu 啊需求
'a'xu'yao 啊需要
'a'xuan'wan 啊选完
'a'ya'li 啊压力
'a'yan'fa 啊研发
'a'yao 啊要
'a'yao'bu'ran 啊要不然
'a'yao'duo'shao'qian 啊要多少钱
'a'yao'ji'shu 啊要技术
'a'yao'me 啊要么
'a'yao'qiu 啊要求
'a'yao'shi 啊要是
'a'ye 啊也
'a'ye'you 啊也有
'a'yi'ban 啊一般
'a'yi'ding 啊一定
'a'yi'ge 啊一个
'a'yi'hang 啊一行
'a'yi'hui 啊医慧
'a'yi'jing 啊已经
'a'yi'kai'shi 啊一开始
'a'yi'min 啊一敏
'a'yi'qian 啊以前
'a'yi'tian 啊一天
'a'yi'xia 啊一下
'a'yi'yang 啊一样
'a'yi'yuan 啊医院
'a'yi'zhang'zhi 啊一张纸
'a'yi'zhi 啊一直
'a'yin'hua'shui 啊印花税
'a'yin'wei 啊因为
'a'ying'gai 啊应该
'a'yong 啊用
'a'you 啊又
'a'you'bu'shi 啊又不是
'a'you'dian 啊有点
'a'you'jian'li 啊邮件里
'a'you'ren 啊有人
'a'you'shi 啊有时
'a'you'shi'jian 啊有时间
'a'you'xie 啊有些
'a'you'xie'ren 啊有些人
'a'yu'gu 啊预估
'a'yuan'dan 啊元旦
'a'yuan'lai 啊原来
'a'yun'le 啊晕了
'a'yun'ying 啊运营
'a'zai 啊在
'a'zai 啊再
'a'zao 啊早
'a'zao'jiu 啊早就
'a'zao'wan 啊早晚
'a'zen'me 啊怎么
'a'zhang'hao 啊账号
'a'zhao'dao 啊找到
'a'zhe 啊这
'a'zhe'bu'shi 啊这不是
'a'zhe'ci 啊这次
'a'zhe'ge 啊这个
'a'zhe'ge'bao 啊这个包
'a'zhe'ge'biao 啊这个表
'a'zhe'li 啊这里
'a'zhe'me 啊这么
'a'zhe'me'hao 啊这么好
'a'zhe'me'suan 啊这么算
'a'zhe'mei'zi 啊这妹子
'a'zhe'shi 啊这是
'a'zhe'shi 啊这事
'a'zhe'xia 啊这下
'a'zhe'xie 啊这些
'a'zhe'yang 啊这样
'a'zhe'zhong 啊这种
'a'zhen'de 啊真的
'a'zhen'shi 啊真是
'a'zhen'shuang 啊真爽
'a'zhen'xiang 啊真想
'a'zhen'zheng 啊真正
'a'zheng'fan'mian 啊正反面
'a'zheng'quan 啊证券
'a'zheng'ti 啊整体
'a'zhi'jie 啊直接
'a'zhi'jin 啊至今
'a'zhi'lei 啊之类
'a'zhi'neng 啊只能
'a'zhi'shi 啊只是
'a'zhi'shuo 啊只说
'a'zhi'yao 啊只要
'a'zhong'xin 啊中信
'a'zhong'yu 啊终于
'a'zhou'mo 啊周末
'a'zhou'yi 啊周一
'a'zhu'yao 啊主要
'a'zhuo'zi 啊桌子
'a'zi'cong 啊自从
'a'zi'shu 啊字数
'a'zong'gong 啊总共
'a'zou'yi'ge 啊走一个
'a'zui'duo 啊最多
'a'zui'hou 啊最后
'a'zui'jin 啊最近
'a'zui'shu'xi 啊最熟悉
'a'zui'zhong'yao 啊最重要
'a'zuo'tian 啊昨天
'ai 爱
'ai 哎
'ai'ben'lai 哎本来
'ai'cao'le 哎操了
'ai'chai'qian 哎柴钱
'ai'da 挨打
'ai'da'dou'shi 挨打都是
'ai'ge 挨个
'ai'ge'kong'jian 挨个控件
'ai'ge'sen 爱格森
'ai'ge'tan'chu'lai 挨个弹出来
'ai'ge'zhao'yi'xia 挨个找一下
'ai'gei 爱给
'ai'gei'liao'zong 爱给廖总
'ai'gen'zong'dao 哎跟踪到
'ai'guo 爱国
'ai'guo'le 爱国了
'ai'han 爱喊
'ai'hao 爱好
'ai'hao'jiu'shi 爱好就是
'ai'hao'shi'a 爱好是啊
'ai'hao'yi'yang 爱好一样
'ai'hao'yin'cang 爱好隐藏
'ai'he 爱喝
'ai'he'pi 爱喝啤
'ai'ji'ben 哎基本
'ai'kan 爱看
'ai'kan'ni 爱看你
'ai'ma 挨骂
'ai'ma'a 挨骂啊
'ai'ma'le 挨骂了
'ai'mao'si 哎貌似
'ai'mei 暧昧
'ai'mei'ba 暧昧吧
'ai'mei'bu'zhi'dao 暧昧不知道
'ai'mei'de 哎没得
'ai'mei'han'shang 暧昧喊上
'ai'mei'shuo'le 暧昧说了
'ai'mei'ye 暧昧也
'ai'mei'zai'bu 暧昧在不
'ai'mei'zhe'me 暧昧这么
'ai'mo'neng'zhu 爱莫能助
'ai'mo'neng'zhu'a 爱莫能助啊
'ai'mo'neng'zhu'le 爱莫能助了
'ai'na 哎那
'ai'na'suan'le 哎那算了
'ai'ni 爱你
'ai'ni'ni 爱你你
'ai'pi 挨批
'ai'pi'le 挨批了
'ai'pu'sheng 爱普生
'ai'pu'sheng'de 爱普生的
'ai'ta'mei 爱他美
'ai'ta'mei'de 爱他美的
'ai'ta'mei'nai'fen 爱他美奶粉
'ai'tou'su 爱投诉
'ai'wei'er 艾薇儿
'ai'wo 哎我
'ai'wu'chu'ke 哎误出科
'ai'xiao 矮小
'ai'xiao'ye'xing 矮小也行
'ai'xin 爱心
'ai'xin'juan'kuan 爱心捐款
'ai'zhe 挨着
'ai'zhe'dou 哎这都
'ai'zhe'ge 哎这个
'ai'zhe'shi'jian'dian 挨着时间点
'ai'zuo 爱做
'ai'zuo'de 爱做的
'an 按
'an 俺
'an'bi'li 按比例
'an'bi'ni 俺比你
'an'bing'qu 按病区
'an'bu'ren'shi 俺不认识
'an'bu'suan 按不算
'an'chan'pin 按产品
'an'chuang'hao 按床号
'an'ci 按次
'an'dan'ge 按单个
'an'de 按的
'an'de 俺的
'an'de'guang'da'zheng'quan 俺的光大证券
'an'dian 按点
'an'dian'song'guo'lai 按点送过来
'an'dian'yuan 按电源
'an'dong'le 俺懂了
'an'dui 案对
'an'dui 俺对
'an'duo'shao 按多少
'an'fang 安防
'an'fang'ne 安防呢
'an'gai'hou 按改后
'an'hong 暗红
'an'hui'che 按回车
'an'huo 按或
'an'ji'hua 按计划
'an'jia 俺家
'an'jia 安家
'an'jia'le 安家了
'an'jia'su'zhou 安家苏州
'an'jian 按键
'an'jian'shi'xiao 按键失效
'an'jing 安静
'an'jing'cai 安静才
'an'jing'de 安静的
'an'jing'yi'dian 安静一点
'an'ke'shi 按科室
'an'li 案例
'an'li'jiu'shi 案例就是
'an'luo'di 俺落地
'an'mei'qian 俺没钱
'an'mei'yue 按每月
'an'men 俺们
'an'men'dou'shi 俺们都是
'an'ming'tian 按明天
'an'mo 按摩
'an'mo'hao'de 按摩好的
'an'mo'kuai 按模块
'an'mo'ren'zhi'xing 按默认执行
'an'mo'shi 按摩师
'an'mo'shi'ta 按摩师他
'an'mo'xiang'xue'hai 按摩香雪海
'an'na'ge 按哪个
'an'ni 安妮
'an'ni 按你
'an'niu 按钮
'an'niu'a 按钮啊
'an'niu'a'jiao 按钮阿娇
'an'niu'an'niu 按钮按钮
'an'niu'ba 按钮吧
'an'niu'bao'cun 按钮保存
'an'niu'bao'cuo 按钮报错
'an'niu'bian'xiao'dian 按钮变小点
'an'niu'bu'shi 按钮不是
'an'niu'bu'xian'shi 按钮不显示
'an'niu'cai'bao'cun 按钮才保存
'an'niu'chan'hou 按钮产后
'an'niu'de 按钮的
'an'niu'deng 按钮等
'an'niu'dian'ji 按钮点击
'an'niu'fa'bu 按钮发布
'an'niu'gai'cheng 按钮改成
'an'niu'guan'li'yuan 按钮管理员
'an'niu'hao'le 按钮好了
'an'niu'hu'shi 按钮护士
'an'niu'hua'le 按钮花了
'an'niu'jia'le 按钮加了
'an'niu'jie'tu 按钮截图
'an'niu'jiu 按钮就
'an'niu'jiu'shi 按钮就是
'an'niu'jiu'xing 按钮就行
'an'niu'kan'bu'dao 按钮看不到
'an'niu'kong'zhi 按钮控制
'an'niu'le 按钮了
'an'niu'lu'ru 按钮录入
'an'niu'ma 按钮吗
'an'niu'mei 按钮没
'an'niu'mei'you 按钮没有
'an'niu'ming'cheng 按钮名称
'an'niu'na 按钮那
'an'niu'na'tian 按钮那天
'an'niu'neng 按钮能
'an'niu'neng'bu'neng 按钮能不能
'an'niu'ni 按钮你
'an'niu'pan'duan 按钮判断
'an'niu'ping'fen 按钮评分
'an'niu'qu'le 按钮去了
'an'niu'shi 按钮是
'an'niu'shi'bu'shi 按钮是不是
'an'niu'shi'de 按钮是的
'an'niu'shou'xi 按钮首席
'an'niu'su'du 按钮速度
'an'niu'tai'duo 按钮太多
'an'niu'tan'chu 按钮弹出
'an'niu'ti'jiao 按钮提交
'an'niu'tiao'zheng 按钮调整
'an'niu'wo 按钮我
'an'niu'xia 按钮下
'an'niu'xian 按钮先
'an'niu'yao'bu'yao 按钮要不要
'an'niu'ye 按钮也
'an'niu'yi'dian'ji 按钮一点击
'an'niu'ying'gai 按钮应该
'an'niu'yuan'yin 按钮原因
'an'niu'zai 按钮在
'an'niu'zhe'shi 按钮这是
'an'niu'zhe'yang 按钮这样
'an'pai 安排
'an'pai'a 安排啊
'an'pai'ba 安排吧
'an'pai'bie'ren 安排别人
'an'pai'bu'guo'lai 安排不过来
'an'pai'cha'kan 安排查看
'an'pai'chu'xiong 安排楚雄
'an'pai'de 安排的
'an'pai'dui'ying 安排对应
'an'pai'en 安排恩
'an'pai'gei 安排给
'an'pai'gong'cheng'shi 安排工程师
'an'pai'gong'neng 安排功能
'an'pai'gong'zuo 安排工作
'an'pai'hao 安排好
'an'pai'huo 安排活
'an'pai'ji'ge'ren 安排几个人
'an'pai'le 安排了
'an'pai'liang'ge 安排两个
'an'pai'liang'ge'ren 安排两个人
'an'pai'lu'hao 安排陆昊
'an'pai'na'ge 安排哪个
'an'pai'ni 安排你
'an'pai'qi'ta 安排其他
'an'pai'ren 安排人
'an'pai'shi'jian 安排时间
'an'pai'shou'shou 安排兽兽
'an'pai'wo 安排我
'an'pai'xiu'gai 安排修改
'an'pai'yi'ge 安排一个
'an'pai'yi'xia 安排一下
'an'pai'zai 安排在
'an'pai'zhang'shou'hua 安排张寿华
'an'ping'gu 按评估
'an'qiu 安丘
'an'qiu'bu'shi 安丘不是
'an'qiu'de 安丘的
'an'qiu'mao'ming 安丘茂名
'an'qiu'na'ge 安丘那个
'an'qiu'shi 安丘是
'an'qiu'you'ge 安丘有个
'an'quan 安全
'an'quan'de 安全的
'an'quan'guan'li 安全管理
'an'quan'hao'chi 安全好吃
'an'quan'hu'li 安全护理
'an'quan'ni 安全你
'an'quan'qi'jian 安全起见
'an'quan'she'ji 安全设计
'an'quan'xing 安全性
'an'quan'zui'jin 安全最近
'an'shen'me 按什么
'an'shi'jian 按时间
'an'shi'jian'duan 按时间段
'an'shuo 按说
'an'shuo'bao'cun 按说保存
'an'shuo'bao'cun'guo 按说保存过
'an'shuo'bu'hui 按说不会
'an'shuo'chuang'wei'biao 按说床位表
'an'shuo'gui'ge 按说规格
'an'shuo'he 按说和
'an'shuo'jing'jian'ban 按说精简版
'an'shuo'jiu'suan 按说就算
'an'shuo'la'ji 按说垃圾
'an'shuo'nei'cun 按说内存
'an'shuo'ni 按说你
'an'shuo'shang'bao 按说上报
'an'shuo'shuang'ji 按说双击
'an'shuo'ta 按说他
'an'shuo'wo 按说我
'an'shuo'xiao'jie 按说小结
'an'shuo'ye 按说也
'an'shuo'yi'ge 按说一个
'an'shuo'yi'qian 按说以前
'an'shuo'ying'gai 按说应该
'an'shuo'zhe'li 按说这里
'an'su'zhou 俺苏州
'an'ta 按他
'an'tian 按天
'an'tian'jia 按添加
'an'tian'lai 按天来
'an'wan'cheng 按完成
'an'wei 安慰
'an'wei 安微
'an'wei'an'wei 安慰安慰
'an'wei'le 安慰了
'an'wei'ni 安慰你
'an'wei'shi'shi 安慰实施
'an'wei'ta 安慰她
'an'wei'yi'xia 安慰一下
'an'wo 按我
'an'wo'zhe'me 按我这么
'an'wu'tian'ri 暗无天日
'an'wu'tian'ri'de 暗无天日的
'an'xiao'zu 按小组
'an'xin 安心
'an'xin'chao'gu 安心炒股
'an'xin'de 安心的
'an'xin'deng'dai 安心等待
'an'xin'gao 安心搞
'an'xin'gong'zuo 安心工作
'an'xin'le 安心了
'an'xin'li'cai 安心理财
'an'xin'nong 安心弄
'an'xin'zai'jia 安心在家
'an'xiu'gai 按修改
'an'xu'bo 按徐博
'an'xu'qiu 按需求
'an'xu'qiu'liang 按需求量
'an'yan'shou 按验收
'an'yao'qiu 按要求
'an'yi'qian 按以前
'an'yi'sheng 按医生
'an'yi'yuan 按医院
'an'you 俺有
'an'you'wen'ti 俺有问题
'an'za'men 按咱们
'an'zai 俺再
'an'zao'shang 按早上
'an'zhao 按照
'an'zhao'bing'qu 按照病区
'an'zhao'cao'zuo'zhe 按照操作者
'an'zhao'cheng'xu 按照程序
'an'zhao'chuang'hao 按照床号
'an'zhao'da'fen 按照打分
'an'zhao'da'yin 按照打印
'an'zhao'dai'li 按照代理
'an'zhao'dan'xuan 按照单选
'an'zhao'de 按照的
'an'zhao'gang'cai 按照刚才
'an'zhao'ge'shi 按照格式
'an'zhao'gei'de 按照给的
'an'zhao'gong'si 按照公司
'an'zhao'gong'zi 按照工资
'an'zhao'gou'tong 按照沟通
'an'zhao'guan'li 按照惯例
'an'zhao'gui'ding 按照规定
'an'zhao'hang'ye 按照行业
'an'zhao'he 按照和
'an'zhao'he'tong 按照合同
